ID,Name,canonical_outcomes
403,"In view of the foregoing, we invoke our revisional powers under section 4(2) of the Appellate Jurisdiction Act, Cap. 141 R.E.2019 and set aside the judgment and decree of the trial court and nullify the proceedings thereof,  further strike out the suit for being incompetent. Since the issue was raised by the Court on its own motion and, considering Mr. Mutakyamirwa's stance, the Court  make no order as to costs.",Struck out | Proceedings nullified
404,"From the foregoing therefore, the interest of justice demands that the applicant be granted an extension of time to file a notice of appeal on the impugned judgment within sixty (60) working days from the date hereof. Each party shall bear their costs.",Allowed
405,"Having expunged the documentary account of the prosecution as alluded to, on record there is no other evidence to prove the charge against the appellants. Consequently, the Court  find the appeal merited and it is allowed,  direct immediate release of the appellants from custody unless lawfully held for some other reasons.",Allowed | Release ordered
406,"Since the determination of the 1st and 7th ground is sufficient to dispose the appeal, we shall not determine the remaining grounds of appeal. Consequently, the Court  allow the appeal quash and set aside conviction and the sentence meted on the appellant and order the immediate release of the appellant unless if held for another lawful cause.",Allowed | Quashed | Release ordered
407,"The Court  satisfied that the prosecution did not prove its case beyond reasonable doubt, the Court  find merit in this appeal and allow it, the appellant should be set free immediately if not held for some other lawful cause.",Allowed
408,"In the upshot, this application is meritorious. It is granted as prayed, the applicant is given thirty (30) days reckoned from the date of delivery of this ruling within which to file a Reference before the Court. In the circumstances of the application, the Court  make no order as to the costs.",Allowed
409,"The Court  has no doubt that the mandatory life imprisonment imposed on the appellant was well-deserved, given the demonstrated fact that the complainant was seven years old when the appellant sexually molested him. As well, the final ground of appeal is unsuccessful, ultimately, the Court  dismiss the appeal due to its lack of substance.",Dismissed
410,"Ultimately, the Court satisfied that the appellant was duly convicted of the offence laid under section 154 (1) (a) of the Penal Code (""the Code""), due to the impeccable evidence that he caused his manhood to penetrate the anus of the two-year-old girl. The Court  also persuaded that the mandatory life imprisonment was imposed in accordance with the dictates of section 154 (2) of the Code, as the offence was committed on a child under the age of eighteen,  in the end, the Court dismiss the appeal for want of substance.",Dismissed | Convicted
412,"In conclusion, and looking at the totality of the evidence, the Court entertain no doubt that with the available circumstances, the trial court properly held that the case against the appellant was proved beyond reasonable doubt. In the event, and for the foregoing reasons, the Court  find the appeal devoid of merit and it is hereby dismissed in its entirety.",Dismissed
413,"In the upshot, the Court  enjoined to strike out the appeal for the reasons stated above. Given the circumstances of this appeal, the Court  make no order as to costs.",Struck out
414,"The Court  accordingly, allow the appeal, quash the conviction and set aside the sentence meted to the appellant, and order an immediate release from custody forthwith unless otherwise is held for other lawful cause.",Allowed | Quashed | Release ordered
415,"In the event, the appeal is hereby allowed. The appellant's conviction is quashed and the sentence is set aside, the Court consequently order his immediate release from prison unless he is otherwise lawfully held.",Allowed | Quashed | Release ordered
416,"Therefore, the Court  agree with the parties that the prosecution failed to prove the charge of rape against the appellant beyond reasonable doubt. Consequently,  allow the appeal, quash conviction and set aside the appellant's sentence,  order immediate release of the appellant from prison unless lawfully held for other causes.",Dismissed | Quashed | Release ordered
417,"The Court allow the appeal, quash conviction and set aside the appellant's death sentence,  order his immediate release from prison unless he is held for some other lawful cause.",Allowed | Quashed | Release ordered
418,"In the event, and on the basis of the foregoing findings, the Court satisfied that, the applicant has failed to show good cause to justify extension of time as sought. Consequently, the application is dismissed with costs.",Dismissed
419,"In the event, the Court sustain the preliminary objection and strike out the incompetent application with costs to the third respondent.",Struck out
434,"Based on the foregoing discussion, the Court has  constrained to hold that the appeal is unmerited and hereby dismiss it entirely.",Dismissed
420,"There was sufficient evidence to prove that the appellant had sexual intercourse with PW1 without her consent. The case against the appellant was thus, proved to the hilt. In the event, this appeal fails and is hereby dismissed in its entirety.",Settled by consent | Dismissed
421,"Consequently, for the above given reasons, the Court  find the appeal devoid of merit and  dismiss it in its entirety.",Dismissed
422,"In the end, the Court  find the appeal devoid of merit and hereby dismiss it in its entirety.",Dismissed
423,"In the event, the appeal is found to be bereft of merit and the Court  dismiss it with costs.",Dismissed
424,"In the event, the Court  find the appeal lacking in merit and hereby dismiss it.",Dismissed
425,"In the circumstances, the Court  invoke the provisions of section 4 (2) of the AJA to revise, nullify and quash the proceedings in Criminal Appeal No. 41 of 2021 for being a nullity.",Quashed | Proceedings nullified
426,"In view of the above finding, the Court  allow this application so that the raised issues may be considered by the Court. The applicant is granted 60 days within which to file the application for revision from the date of delivery of this ruling. Costs to be in the cause.",Allowed
427,"The Court find the applicant has exhibited sufficient cause, and accordingly, grant the extension of time sought, further order the applicant to lodge the intended appeal within sixty (60) days from the date of this ruling.Being a labour matter, no costs is awarded. It is so ordered.",Allowed
428,"The Court  find that, the appeal has been brought without sufficient reasons. In the event, the same is hereby dismissed in its entirety.",Dismissed
429,"In the end, the Court  do not find merit to the appeal. Accordingly,  proceed to dismiss it with costs.",Dismissed
430,"In the event the Court  find no merit in the cross appeal and dismiss it too. Given our conclusion on the two appeals, tye Court  order each party to bear own costs.",Dismissed
431,"After receiving the Medical Officer's report regarding the appellant's mental health, his trial shall then commence afresh before another Judge. Meanwhile, the Court  order for the appellant to remain in remand custody.",Retrial ordered
432,In light of what the Court has   endeavored to discuss  find the appeal is without merit and dismiss it entirely.,Dismissed
433,"In the upshot, the applicant is granted extension of time to file an appeal. It ordered that the intended appeal should be lodged within sixty (60) days from the date of the delivery of the ruling. Considering the circumstances of this application, the Court  make no order as to costs.",Allowed
435,"In the end result, the Court  hold that the appellant was properly convicted of the offence of rape contrary to section 131 (1) of the Penal Code. Consequently, his appeal has no merit. It is accordingly dismissed in its entirety.",Dismissed | Convicted
436,"The foregoing said, the Court has  of the considered view that the charge levelled against the appellants was proved to the hilt, the Court   find no merit in this appeal and dismiss it entirely.",Dismissed
437,"Ultimately, the Court  order that the file in Land Case No. 47 of 2016 be remitted to the High Court for an expeditious fresh trial in accordance with the law before another judge. In the end, considering the circumstances of the appeal, the Court  make no order as to costs.",Remitted
438,"For the reasons stated above, the Court  satisfied that the appellant was prevented by a reasonable cause for her failure to timely file the intended application for revision and therefore, the Court  allow the appeal, Consequently, the ruling and orders of the High Court in Miscellaneous Labour Application No, 10 of 2021 dated 20th August, 2021 are quashed  and set aside and substituted with an order granting the application as prayed. The appellant is accordingly ordered to file her application for revision within thirty (30) days from the date of this Judgment. From the nature of the dispute, the Court order that each party shall bear own costs.",Allowed | Quashed
439,"The Court  find the instant appeal fatally defective and accordingly strike it out. Considering the concurrent submission of the counsel, the Court  shall not make an order as to costs. Order accordingly.",Struck out
440,"The application has merit and is hereby granted. Consequently, the execution of the decree of the High Court dated 30th November, 2022 in Revision No. 258 of 2022 is hereby stayed pending hearing and determination of the intended appeal. However, the stay is subject to the applicant depositing in the Court within thirty days of the delivery of this ruling a bank guarantee for the sum of TZS 146,302,547.20. The said guarantee shall remain in force until full hearing and determination of the intended appeal by this Court. In the event of default, the order of stay shall lapse automatically. In the circumstances costs shall follow events.",Allowed
450,"In view of what the  Court has endeavoured to discuss,  quash and set aside the judgments and proceedings of all the courts below. Thus, the appeal is merited and it is allowed.",Allowed | Quashed
1,"Appeal allowed, quash the conviction and set aside the sentence imposed on the appellant,  order that the appellant be set at liberty forthwith unless he is held for some other lawful cause.",Allowed | Quashed | Release ordered
441,"The Court  quash the appellant's conviction on attempted armed robbery and set aside the sentence of thirty years imprisonment and substitute thereof with the conviction of attempted robbery contrary to section 287 of the Penal Code and sentence him to seven years imprisonment commencing from the date he was initially convicted and sentenced by the trial court. In the end, save for substitution of conviction and sentence, the Court  dismiss the appeal.",Dismissed | Quashed | Sentence substituted
442,"The Court  has carefully considered the prayer by the respondents that the applicant be condemned to pay costs for preferring a frivolous and vexatious application. In the end, we are of the decided view that it is in the interest of justice that we make no order as to costs.",
443,"For the foregoing reasons, the Court  hereby dismiss this appeal for lack of merit.",Dismissed
444,"In consequence of the foregoing, the Court find the appeal barren of fruits. Accordingly dismiss it.",Dismissed
445,"The Court  agree with the appellant's counsel, that all witnesses who gave evidence before the CMA, did so without taking oath, rendering the proceedings a nullity, the Court  settled that the taking of an oath is such a solemn exercise that should not be inferred but must be reflected in the proceedings. Accordingly,  nullify those proceedings from immediately before the first witness testified to the judgment, quash the judgment and set aside the orders arising therefrom and remit the record to the CMA for it to conduct a fresh hearing by properly recording the evidence according to law. That disposes of the appeal and the Court  do not need to pronounce ourselves on the remaining 8 grounds of appeal.",Settled by consent | Quashed | Proceedings nullified | Remitted
446,"The Court  settled in mind that the prosecution case against the appellant was proved beyond reasonable doubt,  thus find the appeal without merit and accordingly dismiss it.",Settled by consent | Dismissed
447,"The Court  satisfied beyond any shadow of doubts that the prosecution case was proved to the hilt, and that the appellant was properly convicted with the offence charged. Therefore, the appeal is hereby dismissed in its entirety.",Dismissed | Convicted
448,"The Court  find the appeal merited and it is allowed, direct immediate release of the appellant from custody unless lawfully held for some other reasons.",Allowed | Release ordered
449,"The Court  therefore, satisfied that the evidence adduced did not connect the appellants with the offence charged. Hence,  find the sole ground of appeal of the 1st appellant and the 1st ground of 2nd appellant have merit. Consequently allow the appeal based on these two grounds. Accordingly,  quash the conviction and set aside the sentence and  order the release of the appellants from ' prison immediately unless they are being held for other lawful cause.",Allowed | Quashed | Release ordered
451,"In view of what the Court has  demonstrated above, the Court  see no base to discuss other grounds of appeal. The appeal is merited and allowed,  direct immediate release of the appellant from prison unless lawfully held on some other lawful cause.",Allowed | Release ordered
453,"In conclusion, the Court  do not find any cogent reasons to disturb the concurrent findings of the lower courts, the Court  satisfied that the evidence taken as a whole established that the prosecution's case against the appellant was proved beyond reasonable doubt. Consequently, the Court  find no merit in the appeal and we hereby dismiss it in its entirety.",Dismissed
452,"For these reasons, the Court  order that, the record be remitted to the trial court for the case to be heard afresh from the stage where the first trial commenced. Meanwhile, the appellant shall remain in custody pending his retrial which,  direct, should be expedited.",Retrial ordered | Remitted
454,"In the premises, the Court  find merit in the application and it is hereby granted. The applicant should lodge the memorandum and record of appeal within sixty (60) days from the date of delivery of this ruling. Considering the circumstances of this application, the Court  make no order as to costs.",Allowed
455,The Court  find the appeal devoid of merit and proceed to dismiss it in its entirety.,Dismissed
456,"Consequently, while the Court  allow the appeal by quashing conviction and setting aside the corresponding sentence on the second count,  dismiss the appeal on the first count. For avoidance of doubt, the appellant shall continue to serve his thirty years imprisonment for his conviction on the first count.",Dismissed | Quashed
457,"In view of what we have endeavoured to discuss, having re­evaluated the evidence before the trial court has  found no cogent reason to fault the decision of the High Court. Thus, the respondent is entitled to pay the outstanding instalments to the 1st appellant. Consequently, the Court  find the appeal not merited and it is hereby dismissed with costs.",Dismissed
458,"In the results, the application is not merited. It is accordingly dismissed. Since the application arises from Labour matter, the Court make no  order as to costs.",Dismissed
459,"The Court  nullify the proceedings of the trial court from the ruling of case to answer, the defence together with the trial court judgment; and the entire proceedings and judgement of the first appellate court,  therefore, remit the trial court file in respect of Criminal case No. 87 of 2019 for continuation of the trial after making ruling of a case to answer or otherwise before another magistrate. Meanwhile, the appellant shall remain in custody awaiting continuation of hearing of the case.",Proceedings nullified | Remitted
460,"In sum, the Court  find nothing blemished in the conduct of the DLHT and the finding of the High Court on this aspect. We, in consequence, hold that this appeal is devoid of any merit. Accordingly, the Court  dismiss it with costs.",Dismissed
475,"The Court has  to intervene under section 4(2) of the AJA and  declare that all proceedings starting from Civil Appeal No. 50 of 2017 were a nullity. The decisions and orders arising therefrom are therefore quashed and set aside, the Court make no order as to costs.",Quashed | Proceedings nullified
461,"Finally, in exercise of our revisionary powers provided for under section 4 (2) of the Appellate Jurisdiction Act,  the Court  quash the proceedings and all orders that were made by the DLHT in Land Application No. 14 of 2016,  equally quash the proceedings and all orders in the first appellate court in Land Appeal No. 21 of 2020. As for this appeal, strike it out with no order as to costs, since parties are from one family.",Struck out | Quashed
462,"Consequently, the Court  nullify the proceedings of the trial court which followed immediately after the ruling on a case to answer,  also quash the trial court's judgment and set aside the sentence imposed on the appellant. In the same vein, the High Court's proceedings and judgment are as well quashed. Finally, the Court  remit the trial court's record to the trial court and direct that, having duly complied with section 231 of the CPA, the same trial magistrate, if practicable, should proceed with hearing of the case by recording the appellant's defence evidence and composing the judgment,  also direct that, should the trial court convict the appellant, section 172 (2) (c) of the CPA should be taken into consideration in as far as the sentence is concerned.",Quashed | Proceedings nullified | Remitted
463,"In the final analysis, the Court  quash the appellant's conviction and set aside his sentence of life imprisonment. We further direct that, the appellant be released from prison and be set to liberty, unless he is held for any other lawful cause.",Quashed | Release ordered
464,"Based on the above findings, the Court  satisfied that the charge against the appellant was not proved beyond reasonable doubt. Consequently,  the Court  allow the appeal, quash the appellant's conviction and set aside his sentence of 30 thirty years imprisonment. Finally, it is hereby ordered that the appellant shall be released immediately from prison, unless he is held for any other lawful cause.",Allowed | Quashed | Release ordered
465,"For the interest of justice of the case, the  Court  decline making an order for retrial as persuaded by the counsel for the parties. As a result, in exercise of our revisional power under section 4 (2) of the AJA,  nullify all the proceedings in the trial and first appellate courts, the Court  proceed to quash conviction and set aside the appellant's thirty (30) years imprisonment sentence,  order immediate release of the appellant from prison unless otherwise, lawfully held.",Quashed | Proceedings nullified | Retrial ordered | Release ordered
466,"For the foregoing reasons, this appeal is lacking in merit and consequently, the Court  hereby dismiss it in its entirety.",Dismissed
520,"In conclusion, therefore, the respondent neither breached the contract nor any existing law, in attaching the security in question as a measure to recover the outstanding loan. The appeal is thus without merit and it is hereby dismissed with costs.",Dismissed
467,"In the light of the -ab ov e considerations we are constrained to agree with M/S Rwevongeza and Kalolb Bundala, learned counsel for Che appellants that the^e is merit in this appeal. Consequent ... draw the appeal, quash the conviction and set aside the sentence of death impose, the Court  order the release from custody of the appellants forthwith unless otherwise held lawfully.",Allowed | Quashed | Release ordered
468,"In the result, the Court  dismiss the preliminary objection with costs. In the meantime, the Court  order stay of execution of the decree in Commercial Case No. 79 of 2022, pending hearing and determination of the application. It is so ordered.",Dismissed | Allowed
469,"In conclusion, based on the discussion in this appeal, save for the order the Court  made expunging exhibit P19, this appeal is without merit, and  dismiss it.",Dismissed
470,"The Court  allow the appeal, nullify the proceedings of the lower courts, quash the appellant's conviction and set aside the custodial sentence imposed on him. As stated above, there should be a retrial, if that is possible. Meanwhile, the appellant shall remain under remand custody awaiting retrial.",Allowed | Quashed | Proceedings nullified | Retrial ordered
471,"In the upshot, the Court  find that this appeal lacks merit and it is entirely dismissed. As the result,  the Court  hereby order the appellant to pay the respondent the outstanding amount of TZS 6,690,000/-. The mode of payment of the outstanding amount or execution of the decree is exclusively left to the discretion of the parties herein. No order as to costs.",Dismissed
472,"Consequently, the entire appeal is struck out for being incompetent. Each party to bear own costs as the disposal of this appeal was based solely on the point raised by this court suo mottu. It is so ordered. Right of appeal explained.",Struck out
473,"The appeal is hereby allowed and the decision of the trial court is upheld accordingly. For the purpose of emphasis, the parties are at liberty to refer the land dispute to the competent civil forum for conclusive determination on the question of ownership. From then onwards, encroachment onto the land of the other could be a trespass and a criminal charge can be brought against the offending party. It is accordingly ordered. Right of appeal explained.",Allowed
474,"The Court  grant the order to stay the execution of the CMA award in Labour Dispute No. CMA/SGD/29/2018/06/2019 pending the hearing and final determination of Labour Review No. 25141 of 2024 pending before this court. This being a labour matter, the parties shall bear their own costs. Order accordingly.",Allowed
476,"In view of what the Court has  endeavoured to discuss above, the Court  grant the prayer. Consequently, in terms of Rule 99 (1) of the Rules,  order that the respondent should file a supplementary record of appeal which will include the pleadings in Commercial Case No. 128 of 2021 and the",Allowed
477,In view of what the Court has  discussed  satisfied that the appeal has no merit and  dismiss it.  The Court  make no order as to costs as this is a labour matter and no party pressed for it.,Dismissed
478,"With these infractions the Court  agree with all learned counsel that both cautioned statements were wrongly admitted and hence deserves to be expunged as we hereby do. That said and done, if the two cautioned statements are expunged, there remains no other evidence to sustain the conviction. Consequently, the Court  allow the appeal, quash the conviction entered against the appellants and set aside the sentences meted out against them,  further order for their immediate release from custody unless otherwise are held for other lawful cause(s).",Allowed | Quashed | Release ordered
479,"Besides that,the Court  considered the appellant's prayer to have the motor vehicle returned to him. Indeed, the record bears that the application for forfeiture was made and granted under section 9 (1) of the Proceeds of Crimes Act, Cap 256 (the PCA). In view of section 17 (1) of the PCA, having quashed the conviction upon which the forfeiture order hinged, the Court  hereby order for the discharge of the motor vehicle, subject of the forfeiture order.",Allowed | Quashed | Discharged
480,"The Court  satisfied that the case against the appellant was proved to the hilt. Eventually,  find this appeal meritless and  dismiss it in its entirety.",Dismissed
481,"For the reasons discussed the Court  dismiss the appeal against conviction as it has no merit bearing in mind that not only did the prosecution witnesses prove the case but even the appellant advanced it. The Court  however allow the appeal in respect of the sentence and vary it accordingly for the reasons shown earlier. The appellant shall serve a sentence of 30 years imprisonment instead of the imposed life imprisonment which we hereby set aside. Except for the variation in the sentence, this appeal is dismissed.",Dismissed | Sentenced
482,This appeal is dismissed in its entirety.,Dismissed
483,"With the foregoing, the appeal partially succeeds, the Court  quash the conviction and set aside the sentence in relation to the offence of impregnating a school girl. In relation to the offence of rape, the appeal is devoid of merit and accordingly, dismiss it in its entirely.",Allowed in part | Dismissed | Quashed
484,"The totality of the foregoing discussion leads us to the conclusion that the prosecution case was marred with doubts which need to be resolved in favour of the appellant. In the circumstances, the Court has  constrained to allow the appeal, quash the appellant's conviction and set aside the sentence meted out against the appellant. Ultimately,  order or the release of the appellant forthwith unless held for some other lawful cause(s)",Allowed | Quashed | Release ordered
485,"For the foregoing reasons, the Court  hold that the appellant has not substantiated the merits of the appeal which accordingly dismiss with costs.",Dismissed
486,"Ultimately, the Court  allow the appeal to the extent that has been designated. Consequently, we render judgment in favour of the appellant in the amount of US$ 132,639.30. The appellant's remaining claim stands dismissed. Due to the circumstances of this case, the Court  order each party to bear its own costs.",Dismissed
487,"For the foregoing, the Court  view that, the applicant has complied with the requisite conditions outlined for a stay of execution order to be granted as stipulated under rule 11 of the Rules. In view of the circumstances of the matter at hand, the application is allowed, and it is hereby ordered that execution of the decree in Land Case No. 12 of 2008 dated 17th March, 2023 is stayed pending the hearing and final determination of the appeal. This order is conditional upon the applicants depositing a bank's guarantee of US$ 14,400 as a security for the due performance of the decree within a month to be reckoned from the date of delivery of this ruling. I make no order as to costs.",Allowed
488,"For the foregoing reasons, the Court  do not find any cogent reasons to disturb the concurrent findings of the lower courts, as we are satisfied that the evidence taken as a whole establishes that the prosecution's case against the appellant was proved beyond reasonable doubt. In the event, the Court  find the appeal devoid of merit and it is hereby dismissed in its entirety.",Dismissed
489,"In view of the circumstance of this matter, the Court  uphold the submission by the learned Principal State Attorney that the interests of justice in the matter at hand demand that there should be a retrial before the High Court. thus order the case to be tried afresh by a court of competent jurisdiction, subject to the consent of the DPP to prosecute the appellant. In the meantime, the appellant shall remain in custody to await the resumption of the trial.",Settled by consent | Retrial ordered
490,"Consequently, the Court  order that the stay of execution of the decree be conditioned on the furnishing, by the applicant, of a bank guarantee amounting to Euros 1,000,000.00. The bank guarantee should be furnished to the Court within sixty days from the date hereof. The applicant is further ordered to ensure that nothing dissipates the value of the bank guarantee for the entirety of the period of validity of the guarantee,  make no order as to costs.",Allowed
491,"Consequently, the Court allow the appeal, quash conviction and set aside the appellant's sentence,  order his immediate release from prison, unless he is otherwise lawfully held.",Allowed | Quashed | Release ordered
492,"The Court, in view thereof, find nothing unusual or erroneous in the learned Judge's stance of the matter. It was in keeping with the duty that the court had in the matter. In consequence,  find this ground of appeal hollow and dismiss it. Overall, the Court  find nothing meritorious in this appeal. Accordingly,  dismiss it with no order as to costs.",Dismissed
493,"This appeal has merit, and the Court  will allow it accordingly. The Judgment and the Decree of the High Court Labour Division in Labour Revision No. 08 of 2021 is quashed and set aside, the Court  restore the Award of the CMA. Each side shall bear its costs.",Allowed | Quashed
494,"The Court stated that the ability of a witness to name a suspect at the earliest opportunity is an all-important assurance of his reliability. Therefore,  dismiss grounds number 1, H( 3 and 6 for lack of merits. The Court  otherwise have no reason to doubt that the prosecution proved its case beyond reasonable doubt. As a result,  dismiss this appeal in its entirety.",Dismissed
495,"For the foregoing reasons, the Court  dismiss the appeal and direct that the record of the DLHT be remitted back for it to proceed with application for execution (Application No. 88/2013) and determine objections, if any. The respondent to have costs of this appeal.",Dismissed | Remitted
496,"With the few pointed out defects we entirely agree that retrial will be prejudicial to the appellants. In the end,  the Court  proceed to allow the appeal, nullify the proceedings, quash the conviction and set aside the sentence. All three appellants be released from prison unless being held for some other lawful reasons.",Allowed | Quashed | Proceedings nullified | Retrial ordered | Release ordered
497,"In the result, the Court  allow the appeal, quash the appellants' convictions and set aside the sentences, the Court  hereby order that they should be released from prison forthwith if not held for another lawful cause.",Allowed | Quashed | Release ordered
498,"For the reasons stated above, the Court has  convinced that the prosecution case was tainted with serious potholes rendering involvement of the appellant in the murder of Ligwa Matemani doubtful, the appeal has merit and the Court allow it, quash the trial court's conviction and set aside the sentence rendered to the appellant, the Court  hereby order that he be released forthwith if no other cause holds him behind the prison bars.",Allowed | Quashed | Release ordered
499,"In the event, the Court  find the appeal devoid of merit and dismiss it in its entirety.",Dismissed
500,"In the circumstances, the Court  order that, the record be remitted to the trial court for the case to be heard afresh from the stage where the first trial commenced. Meanwhile, the appellants shall remain in custody. the Court  equally order for the said retrial to be expedited.",Retrial ordered | Remitted
501,"In conclusion, while the Court  allow the appeal on the second count and proceed to quash the conviction and set aside the sentence on it,  the Court  dismiss the appeal as regards the first count. For avoidance of doubt, the appellant shall continue to serve his thirty years imprisonment on the first count.",Dismissed | Quashed
502,"Accordingly, the execution of the decree of the High Court of Tanzania at Tanga in Land Case No. 7 of 2007 is hereby stayed pending hearing and determination of the intended appeal on the following conditions: (i)	The applicant desists from disposing of or in any way alienating the suit property. (ii)	The applicant executes and deliver to the Registrar of the Court a bank guarantee of USD 300,000,000.00. within 30 days from the date hereof. (iii)	The applicant executes and deliver to the Registrar of the Court within the same period, a bank guarantee of TZS 151,133,333.33 being the decretal sum and interest inclusive as of the date of the filing of the application for execution. (iv)	Costs to follow events.",Allowed
503,"In these circumstances, the Court  satisfied that the application has merit and therefore, it is granted. Consequently, the Court  order that, the intended execution of the Decree of the Court of Resident Magistrate of Dar es Salaam at Kisutu in Execution No. 107 of 2023 be stayed pending hearing and determination of the intended appeal. Since the applicants on 9th January, 2024 deposited security in a form of Bank Guarantee from Azania Bank PLC for the contested amount of TZS. 134,400,000.00 that security shall remain valid for twenty-four months renewable to cover the whole period until the appeal is conclusively determined. Costs shall abide the outcome of the appeal.",Allowed
504,"For the reasons stated above, the application has merit and is hereby granted. Accordingly, the execution of the decree of the High Court dated 25th August, 2023 in Land Appeal No. 234 of 2023 is hereby stayed pending hearing and determination of the intended appeal. The said stay is, however, subject to the applicant depositing in the Court within thirty days of the delivery of this ruling a bank guarantee for the sum of TZS. 191,664,000.00. Accordingly, the said guarantee shall remain in force until full hearing and determination of the intended appeal by this Court. In default, the order of stay shall lapse automatically. In the circumstances, costs shall follow events.",Allowed
505,"In this appeal, as determination of the above two grounds of appeal has the effect of determining the entire appeal, the Court  find no reason to engage in determining the other grounds of appeal. Finally, the Court  allow the appeal and quash the conviction of the appellant. Further, the appellant's sentence of thirty years imprisonment is hereby set aside, and order his immediate release from prison, unless he is held there for any other lawful cause.",Allowed | Quashed | Release ordered
506,"Finally, and in view of the above discussion, the Court  allow the appeal and quash the appellant's conviction. His sentence of thirty years imprisonment is hereby set aside. The Court  finally order his immediate release from prison, unless he is held there for any other lawful cause.",Allowed | Quashed | Release ordered
507,"Flowing from the foregoing, it is clear that good cause has been shown for the granting of extension of time. Consequently, the Court  hereby grant it. make no order for costs in order to revive harmony amongst the parties who are relatives.",Allowed
508,"In conclusion, the Court  satisfied that, no good cause has been shown for the granting of extension of time. Consequently, the Court  hereby dismiss the application with costs for being unmerited.",Dismissed
509,"Consequently, under section 4 (2) of the Appellate Jurisdiction Act, Cap. 141 Revised Laws, we quash the entire proceedings before honourable Ngaeje, SRM - Ext. Juris, and the resultant judgment and orders stemming from those proceedings. On the way forward, we order the record in Criminal Appeal No. 66 of 2021 to be remitted to the High Court for a hearing of the appeal or otherwise, properly transfer it to RM-Ext. Juris. For the foregoing, the Court  allow the appeal, quash the proceedings, judgment and orders therefrom. In the meantime, the appellant shall remain in custody.",Transferred | Allowed | Quashed | Remitted
510,"In the final end, the Court  sustain the objection and hereby struck out the appeal for being time barred. Being a labour matter no order for costs is made.",Struck out
511,"On the basis of the foregoing, the Court  allow the appeal, nullify the proceedings, quash the ruling and set aside the orders of the High Court,  direct that, the High Court should continue to hear the preliminary objection in the light of the attack launched on the affidavit sworn in support of the application for extension of time. Needless to say, depending on the outcome of the preliminary objection, the High Court should hear and conclude the proceeding according to law. Since the mix up leading to the present appeal was partly caused by the present appellant, and there was neither fault nor stratagem on the part of the respondent,  order for each party to bear their own costs.",Allowed in part | Quashed | Proceedings nullified
512,"All said and done, the Court  allow the appeal to the extent that there was no proper transfer of Criminal Appeal No. 68 of 2020 from the High Court to the Resident Magistrate' Court for it to be heard and determined by a resident magistrate with extended jurisdiction. All the proceedings before the Resident Magistrates' Court including the judgment by S.B. Nsana SRM Ext. Jurisd are a nullity, order the High Court record in Criminal Appeal No. 68 of 2020 be remitted to the High Court for it to deal with it according to law,  direct that the appeal be expeditiously heard and determined. Meanwhile, the appellant has to remain in prison custody awaiting to prosecute his appeal before the High Court.",Transferred | Allowed | Proceedings nullified | Remitted
513,"The Court  minded to allow the appellants' appeal, quash their respective convictions and also set aside the sentences meted against each of them, the Court  hereby order that they should be set at liberty if nothing lawful holds them in prison.",Allowed | Quashed | Release ordered
514,"In the final result, both the appeal and cross appeal are without merit and are hereby dismissed. This being a labour matter, the Court make no order as to costs.",Dismissed
515,"The Court  undoubtedly find the trial was vitiated,  hold that, the trial conducted without framing issues was a nullity and hereby quashed. So is the judgment and decree that followed. Going forward, the Court  order that the record be remitted to the High Court for a retrial before another Judge. For the reasons given, the Court  allow the appeal but with no order for costs.",Allowed | Quashed | Proceedings nullified | Retrial ordered | Remitted
516,"That said, the appeal stands allowed. Since the appeal emanates from a labour dispute in which costs are ordinarily not awardable, the Court  order that each party bears own costs.",Allowed
517,"In view of the foregoing, the Court  find merit in the application and  grant it. Accordingly, the notice of appeal lodged on 24th October, 2022 is struck out with costs. Ordered accordingly.",Struck out
518,"As this ground is sufficient to dispose of the appeal, the Court  shall not address the rest of the grounds of appeal. Consequently,  quash the judgment of the High Court and order a fresh hearing of the first appeal according to law. Meanwhile the appellant to remain in custody to wait for the re-hearing of the first appeal, which should be as soon as possible.",Quashed
519,"On the whole, the Court  find the application merited and grant it. Consequently, the notice of appeal lodged on 26 October, 2021 is hereby struck out as prayed in the notice of motion. Considering the nature of the dispute giving rise to the application, the Court  make no order as to costs. Order accordingly.",Struck out
521,"It is my considered view that the application before the Court  lacks the qualities of a competent application. It follows that the same must fall through, and accordingly,  the Court strike it out with no order as to costs. It is so ordered",Struck out
522,"The Court  view that the application  lacks the qualities of a competent application. It follows that the same must fall through, and accordingly,  strike it out with no order as to costs. It is so ordered.",Struck out
523,"For those reasons, this application has not met the threshold for this court to exercise the discretion to grant bail pending appeal. As the result, the application is hereby dismissed for want of merit. Order accordingly.",Dismissed
524,"Consequently, the Court  take heed and grant leave to the cross appellant  to lodge a supplementary record of appeal to accommodate the certified  record of proceedings within sixty (60) days from the date of this decision. Costs to abide the outcome of the cross appeal.",Allowed
525,"The Court has the  view that, it has  sufficient to dispose of this application and find no need to consider the remaining ground since it falls within the ambit of what has been deliberated and determined in those two grounds. In the end, the Court  dismiss the application for lack of merit and  make no orders as to costs.",Dismissed
526,"In consequence, the proceedings and judgments of the High Court, DLHT are nullified as they were based on an erroneous judgment of the Ward Tribunal. Parties are at liberty to institute fresh proceedings in a competent forum under the law and procedure.",Proceedings nullified
